timestamp;"Do you run UI5 freestyle apps in production?
(""freestyle"" here mostly means ""core"" UI5 usage.
With some -but no strict!- adherence to Fiori UI-/UX-guidelines.
A question with regard to ""Standard Fiori apps"" comes later in the sequence)";Do you run Fiori Elements apps in production?;"Do you run Standard (Fiori) apps in production?
(""Fiori"" here applies to pre-delivered SAP apps)";What technologies and variants do you use in your productive UI5 freestyle app?;"What variations of and how many productive Standard apps are you running? [delivered by SAP ""as-is"", but with Customizing]";Are you running automated tests for your productive UI5-, FE- and/or Fiori-app?;How do you bootstrap new UI5-Freestyle- and Fiori-apps?;How do you bootstrap new Fiori Elements apps?;What IDEs are you using for developing UI5-based apps (incl Freestyle, Fiori Elements, and Standard)?;How do you deploy your productive apps? [from BAS];"How do you deploy your productive apps? [via BTP's ""Cloud Transport Management""]";How do you deploy your productive apps? [via GitHub Actions];How do you deploy your productive apps? [via GitLab Pipelines];How do you deploy your productive apps? [via BitBucket Pipelines];How do you deploy your productive apps? [from Jenkins];How do you deploy your productive apps? [from the developer's computer];How many UI5 freestyle apps are you running in production?;How many Fiori Elements apps are you running in production?;How many Standard (Fiori) apps are you running in production?;Which open source packages do you use for your UI5 development that were developed specifically for UI5 and are not maintained by SAP?;Which UI5 version are most of your productive apps currently using?;Which deployment model do you primarily use for productive UI5-based apps?;"What is the relationship between the use of SAP GUI and UI5-based Apps (Freestyle, FE, standard Fiori) in production at your org/company/enterprise/area of responsibility?
";What variations of and how many Fiori Element apps are you running in production? [self developed/generated];"What variations of and how many Fiori Element apps are you running in production? [self developed/generated  including ""Breakouts"", aka ""Modifications""; officially referred to as ""App Extensions"", https://ui5.sap.com/#/topic/340cdb2ba97c4843979f905a70a327ee)]";"What variations of and how many Fiori Element apps are you running in production? [delivered by SAP ""as-is"", without code modifications, but eventually with Customizing]";"What variations of and how many Fiori Element apps are you running in production? [delivered by SAP, but modified/extended (""Adaptation Extensions"", https://ui5.sap.com/#/topic/52fc48b479314d0688be24f699778c47)]";What variations of and how many productive Standard apps are you running? [delivered by SAP, but modified with Code];What variations of and how many productive Standard apps are you running? [both: delivered by SAP, but modified with Code and customized];"What variations of and how many productive Standard apps are you running? [delivered by SAP ""as-is"", 1:1 in Production]"
2.2.2024 11:22:56;Yes;Yes;Yes;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries, none of the above, simply ""Freestyle""";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;to BTP;;;;;to an on-premise SAP System;30;10;10;;1.108 to 1.120;SAP On-Premise, BTP;3;1-5;6-10;;;;6-10;
2.2.2024 11:30:40;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), OData v2 ""Smart Controls"", UI5 Libraries";;E2E with Chrome Tools;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to BTP;;;;;;to an on-premise SAP System;10;6;;Once used barcode scanning until it was made available in ui5;1.108 to 1.120;SAP On-Premise, BTP;1;1-5;1-5;1-5;1-5;;6-10;
2.2.2024 11:31:48;Yes;Yes;Yes;"UI5 Libraries, none of the above, simply ""Freestyle""";11-15;Playwright ;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to BTP;;;to BTP;to an on-premise SAP System;;;1;3;200;;1.108 to 1.120;SAP On-Premise, BTP;3;1-5;1-5;1-5;1-5;11-15;11-15;20+
2.2.2024 11:44:02;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";;;"""Easy UI5""-Generator, copy existing app, Start from scratch with npm, UI5 Tooling, and manually creating webapp files";;Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);;;;;;;;;;;;;;3;;;;;;;
2.2.2024 11:49:38;Yes;Yes;No;UI5 Web Components, UI5 Libraries;;Cypress;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);;;to BTP;to BTP;to BTP;;;10;80;;None;1.108 to 1.120;BTP;4;20+;1-5;;;;;
2.2.2024 12:10:59;Yes;Yes;No;"Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", UI5 Libraries";;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;;5;15;;;1.85 to 1.96;SAP On-Premise;1;1-5;11-15;;;;;
2.2.2024 12:19:32;Yes;Yes;No;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), OData v2 ""Smart Controls"", none of the above, simply ""Freestyle""";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);;;;;;to BTP;;10;2;;Excel reading library;1.108 to 1.120;BTP;0;1-5;;;;;;
2.2.2024 12:28:35;Yes;Yes;No;"OData v2 ""Smart Controls"", UI5 Libraries";;none;Fiori Tools (in BAS or VS Code), copy existing app;Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);;;;to BTP;;;to BTP;15;30;;Ui5 tooling;1.96 to 1.108;BTP;4;11-15;6-10;;;;;
2.2.2024 12:33:08;Yes;Yes;Yes;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";1-5;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to BTP;to BTP;to an on-premise SAP System;;;;to an on-premise SAP System, to BTP;15;30;50;Ui5-SpreadSheet-Uploader by Marian Zeis;1.108 to 1.120;SAP On-Premise ECC, SAP On-Premise S/4, BTP;1;20+;11-15;1-5;1-5;1-5;1-5;20+
2.2.2024 12:41:08;Yes;Yes;Yes;"OData v2 ""Smart Controls"", Reuse Components";;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System;6;3;;;1.60 to 1.71;SAP On-Premise ECC;1;;1-5;;1-5;;6-10;
